Variable name,Display name,unit,Vitalipid Adult,Vitalipid Infant
unit_vol,Unit volume,ml,1,1
fluid_val,Fluid,ml,1,1
glucose_val,Glucose,g,0,0
amino_val,Amino acids,g,0,0
lipids_val,Lipids,g,0,0
na_val,Sodium (Na),mmol,0,0
k_val,Potasium (K),mmol,0,0
cl_val,Chlorine (Cl),mmol,0,0
ca_val,Calcium (Ca),mmol,0,0
p_val,Phosphorus (P),mmol,0,0
mg_val,Magnesium (Mg),mmol,0,0
vit_a_val,Vitamin A,μg,99,69
vit_d_val,Vitamin D,μg,0.5,1
vit_e_val,Vitamin E,mg,0.91,0.64
vit_k_val,Vitamin K,μg,15,20
vit_c_val,Vitamin C,mg,0,0
thiamine_val,Thiamine,mg,0,0
riboflavin_val,Riboflavin,mg,0,0
pyridoxine_val,Pyridoxine,mg,0,0
niacin_val,Niacin,mg,0,0
vit_b12_val,Vitamin B12,μg,0,0
pantothenic_acid_val,Pantothenic acid,mg,0,0
biotin_val,Biotin,μg,0,0
folic_acid_val,Folic acid,μg,0,0
iron_val,Iron,μg,0,0
zinc_val,Zinc,μg,0,0
copper_val,Copper,μg,0,0
iodine_val,Iodine,μg,0,0
selenium_val,Selenium,μg,0,0
manganese_val,Manganese,μg,0,0
molybdenum_val,Molybdenum,μg,0,0
chromium_val,Chromium,μg,0,0
